Student,SAT,GPA,Interest,High School Quality,Semester 1,Semester 2,Semester 3,Semester 4
Abbess Horror ,1300,3.61,10,7,95,86,91,94
Adele Hawthorne ,1400,3.67,0,9,97,83,85,86
Adelicia von Krupp ,900,4,5,2,88,92,83,72
Adriana Soria ,1360,3.19,0,9,90,85,97,87
Adriana Princess,1180,2.93,2,7,93,81,90,87
Adrienne Frost ,1180,3,6,7,95,88,97,97
Agatha Timly ,1140,2.98,10,8,92,81,95,90
Agent Anesthesia ,1190,3.08,1,7,96,82,83,81
Aghanne Buffalo,1400,3.39,10,9,85,87,92,98
Aguja Buffalo,1310,3.92,8,4,95,88,87,95
Akira Kiamata ,1310,4,1,1,90,86,81,82
Alaisa Ruatha Pethnan ,1100,3.22,10,3,93,89,94,96
Alchemist Student,1150,4.6,9,2,86,90,83,89
Aldebron James,1220,3.08,7,10,96,92,81,84
Aleksandra Nikolaevna ,1340,4,2,4,90,89,95,92
Alflyse Freshman,1400,3.44,10,2,88,92,85,67
Alice Hayes ,1000,4.2,3,3,86,85,86,79
Alice Nugent ,950,2.56,5,7,97,88,95,89
Alice Tremaine ,1420,3.75,10,1,88,83,87,94
Alizon Baunacha ,1350,3.81,7,7,92,86,81,83
Alkhema Salad,1160,3.17,0,4,87,87,81,93
Allatou Buffalo,1190,3.63,3,3,90,91,83,89
Alma Chalmers ,950,2.82,7,3,88,90,90,82
Amanda Mueller ,1200,4.8,0,1,90,82,90,93
Amber Alexis ,1250,3.35,2,9,97,89,97,89
Amie Zamborano ,1420,4.2,3,2,97,87,95,98
Amity Hunter ,1380,3.61,0,7,96,90,88,94
Anastasia Kravinoff ,1500,3.74,0,0,92,86,81,90
Anastasia Summit ,1240,3.22,3,10,97,90,82,98
Andrea Haggard ,1090,3.29,5,8,95,82,97,76
Andrea Janson ,1530,3.78,7,4,95,85,89,94
Andrea Roarke ,1310,3.35,7,9,89,87,83,55
Andrea von Strucker ,1180,3.4,9,9,93,84,90,96
Angela Bradford ,1520,4.35,5,3,94,85,84,81
Angela Golden ,1200,4.9,10,1,87,89,97,85
Angelina Brancale ,1190,3.05,8,7,94,91,98,93
Angeline Kutter ,1240,3.25,2,2,86,83,90,92
Anita Ehren ,1260,2.9,0,0,94,85,82,89
Ann Fraley ,1180,3.13,8,6,86,83,97,82
Ann Herd ,1200,2.68,9,1,90,88,86,80
Anna Frankenstein ,1050,2.42,5,4,93,90,92,98
Anne Mutant ,1330,3.32,8,8,97,87,97,87
Anne Marie Cortez ,1210,3.15,0,9,91,91,85,96
Anzhela Federova ,1280,3.31,10,3,92,91,87,80
Aranda Charboneau ,1260,2.94,1,9,91,92,96,96
Araoha Tepania ,1140,3.45,1,10,85,87,95,94
Ariana Saddiqi ,1250,3.46,4,3,86,88,85,77
Arianna Jankos ,1160,2.97,10,9,88,82,95,83
Ariel Tremmore ,1140,2.48,8,5,94,81,89,82
Asahiri Aoki ,1290,3.35,0,0,91,82,82,77
Astrid Bloom ,1360,3.86,8,3,96,82,97,79
Astrid Mordo ,1080,3.13,10,5,85,86,96,90
Augusta Seger ,1370,3.37,5,4,88,87,83,87
Aunt Serr ,1170,3.27,4,10,89,92,97,87
Axis Annie ,1260,3.34,4,0,98,85,89,82
Ayla Ranefer ,1370,4,3,7,86,85,97,81
Baba Yaga ,1250,3.19,0,10,91,84,92,93
Barbara Gruber ,1090,2.94,5,5,97,83,87,82
Baylee Ann ,1380,3.65,5,3,93,82,93,61
Beatrix Keener ,1150,2.82,6,0,97,85,84,92
Belinda Mathius ,1210,3.18,9,1,86,91,90,80
Belle Raven ,1100,3.32,8,6,94,89,98,85
Benazir Kaur ,950,4.1,0,2,85,86,97,81
Betty Sumitro ,1560,3.85,10,8,94,86,87,89
Betty Swanson ,1430,4,1,2,94,85,98,92
Beverly Cross ,1420,3.59,5,1,85,92,81,94
Bianca LaNeige ,1330,3.62,3,9,97,86,93,90
Big Mother ,1170,3.3,6,2,97,86,82,56
Black Knight,1460,3.69,9,10,92,83,88,92
Black Lotus ,1310,3.73,3,5,86,86,94,77
Black Mariah ,1320,4,7,6,94,92,89,75
Blackwing Smith,1130,2.92,3,1,97,86,95,91
Blanche Sitznski ,1180,3.39,8,0,95,84,91,88
Bloody Bess ,1490,4,10,6,97,90,89,85
Bloody Mary ,1290,3.45,8,9,98,83,86,80
Blow Dryer ,1340,4,10,4,98,88,88,85
Bombardier ,1290,3.36,9,8,87,84,97,81
Boudica Gorman ,1350,4,3,8,93,83,85,96
Bouncing Betty ,1100,3.12,9,10,93,82,95,86
Bridget Malone ,1410,4,7,10,85,90,91,79
Brigitte Lahti ,1140,2.9,5,7,93,83,86,92
Bronwen Gryffn ,1160,3.07,4,6,87,82,92,75
Bubbles O'Day ,1080,2.71,3,1,96,82,96,50
Cal'syee Neramani ,1090,2.91,3,4,92,88,84,78
Calypso Ezili ,1150,4.7,2,3,91,85,94,93
Carmella Unuscione ,1090,2.98,6,10,96,84,90,81
Carol Hines ,1370,4.1,6,8,87,91,94,77
